Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,271.362,64,495,40,29,3036,15,0,3675,3810,3854,4067
25,297.77,68,536,80018,22,3271,12,0,83527,87778,89571,92461
31,299.092,73,566,99703,22,3257,13,1,103964,108373,111385,136295
12,300.387,66,516,36079,22,3244,12,0,40166,41845,42867,45384
8,305.832,73,552,22300,20,3187,12,0,25216,28047,29020,31969
26,309.658,67,511,80191,21,3149,11,0,82178,87627,89241,92180
9,316.82,69,500,24720,19,3080,11,0,28124,28944,30327,32446
24,318.459,65,532,71653,19,3063,11,0,74898,75605,79525,84426
30,318.933,70,554,90330,18,3056,12,1,93714,94358,94672,112347
10,319.268,65,484,27676,19,3056,11,0,31227,31736,31867,32221
27,319.379,66,506,80857,19,3055,11,0,84289,85029,85430,89034
21,319.606,71,512,62018,19,3052,11,0,65529,66249,66597,69829
7,319.661,68,514,18225,18,3054,11,0,21847,22120,22266,23764
28,319.715,64,496,83912,19,3051,11,0,87452,88093,88361,88875
11,319.937,67,498,30728,18,3051,11,0,34324,34665,34920,35884
32,319.98,72,561,96270,18,3048,11,1,99835,100481,100856,105904
29,319.982,66,493,86966,19,3049,11,0,90563,91093,91291,91716
4,319.986,69,535,8812,18,3047,11,0,12472,12689,12766,12956
6,320.126,68,510,15078,19,3049,11,0,18702,18991,19141,19814
3,320.155,71,517,5700,18,3046,11,0,9362,9617,9659,9757
23,320.218,65,501,68169,19,3047,11,0,71748,72195,72367,72904
22,320.292,69,507,65019,19,3047,11,0,68598,69068,69287,69702
20,320.437,72,523,58722,19,3046,11,0,62277,62887,63155,66261
18,320.462,70,509,52504,19,3046,11,0,56100,56487,56688,57317
15,320.485,65,485,43167,18,3046,11,0,46773,47132,47314,47798
17,320.66,66,499,49368,18,3045,11,0,52970,53328,53503,53833
14,320.706,68,501,39996,19,3044,11,0,43622,43852,44001,44445
13,320.8,68,491,36880,18,3044,11,0,40462,40755,40892,41489
16,320.826,63,468,46257,18,3043,11,0,49845,50178,50336,50653
19,320.875,67,501,55559,19,3043,11,0,59157,59621,59794,60336
5,320.877,66,506,11932,19,3041,11,0,15555,15742,15843,16366
2,321.417,71,486,2596,19,3034,11,0,6206,6466,6510,6767
