Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,474.137,73,527,92,38,1144,230,0,2085,2427,2537,2761
2,680.068,79,468,977,50,1153,209,1,2924,3317,3470,3788
3,881.633,73,550,1089,53,1378,253,0,3378,3884,3985,4156
4,1066.17,70,571,1207,59,1519,321,0,3783,4188,4302,4541
5,1231.08,70,589,1434,62,1587,314,0,4049,4529,4662,4894
6,1403.13,70,620,1456,68,1724,331,0,4268,4714,4832,5081
7,1556.43,68,622,1531,69,1895,306,1,4484,4950,5080,5317
8,1689.19,67,615,1674,78,1989,307,0,4723,5209,5360,5654
9,1775.41,64,609,1956,77,2014,344,1,5043,5531,5673,5932
11,1794.11,65,669,2427,79,2532,353,1,6109,6623,6773,7024
10,1844.55,66,654,2103,83,2163,347,0,5377,5939,6093,6420
14,1889.27,65,726,2992,97,3172,352,1,7404,7862,7985,8236
12,1895.59,64,716,2232,94,2879,338,1,6325,6827,6968,7209
13,1939.6,65,731,2511,101,2927,360,1,6702,7165,7281,7557
15,1944.23,63,760,3131,100,3272,385,1,7728,8125,8239,8469
17,1997.31,64,756,3787,112,3381,405,1,8038,11559,11903,12367
18,2005.71,62,739,4294,106,3372,394,1,8120,11921,12101,12457
19,2006.2,62,752,4783,89,3368,411,1,8235,12081,12229,12513
16,2007.13,62,732,3275,127,3383,388,1,7966,8349,8492,8750
31,2007.72,62,738,10772,80,3364,420,1,15885,16345,16527,16748
23,2009.59,61,733,6778,100,3372,397,1,11886,12291,12438,12705
30,2010.32,62,740,10254,79,3365,417,1,15776,16257,16417,16700
21,2011.05,63,764,5750,83,3365,410,1,11604,12225,12376,12667
32,2011.57,62,729,11249,83,3363,416,0,15940,16422,16596,16856
20,2011.7,63,757,5260,80,3364,410,1,10232,12154,12309,12586
26,2012.61,63,752,8240,78,3367,411,1,12085,15927,16104,16415
22,2013.32,63,757,6242,94,3378,389,1,11743,12253,12398,12679
25,2015.15,62,726,7738,89,3372,412,1,11998,15475,15898,16280
24,2020.08,63,736,7229,85,3370,392,1,11898,12312,12470,12740
27,2023.18,63,755,8684,81,3370,386,1,12182,16002,16175,16474
28,2024.91,61,754,9156,85,3369,396,1,12961,16093,16246,16543
29,2026.55,61,737,9665,78,3367,396,0,15442,16137,16294,16606
