Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,289.018,82,644,107,43,2196,382,0,3431,3797,3916,4158
2,361.73,70,579,2233,57,2208,376,0,5507,5988,6105,6282
3,454.215,71,597,2597,61,2899,373,0,6606,7044,7165,7412
4,532.791,66,646,2730,59,3607,393,0,7507,7921,8014,8171
5,610.799,67,626,3043,65,3978,401,0,8118,8685,8835,9117
6,684.122,64,646,3521,64,4099,371,0,8746,9184,9324,9633
7,716.474,64,703,4200,66,4318,413,0,9772,10169,10277,10481
8,747.738,65,730,4493,75,4885,445,0,10703,11112,11219,11476
12,798.048,63,729,6828,80,6942,390,0,15034,15479,15625,15915
9,798.839,68,754,4874,72,5047,444,1,11244,11713,11832,12044
11,803.97,63,727,6100,74,6280,429,0,13681,14109,14212,14473
13,829.537,64,754,7135,81,7197,433,0,15673,16076,16177,16411
10,831.581,65,712,5352,78,5388,424,0,12012,12412,12536,12743
24,872.277,63,796,17605,87,8530,428,1,27505,27998,28109,28422
15,872.553,63,807,7823,78,8023,388,1,17178,17598,17714,17929
32,872.567,62,775,26779,96,8536,422,1,36683,37232,37413,37856
21,872.919,63,806,14146,81,8528,418,1,27107,27811,27954,28213
29,873.277,63,794,23299,92,8533,419,1,36202,37053,37239,37557
22,873.91,64,809,15261,81,8528,419,1,27250,27845,27968,28247
23,874.307,63,776,16420,95,8538,411,1,27344,27870,28000,28266
31,874.78,62,778,25558,98,8540,393,1,36458,37050,37213,37654
19,876.068,63,797,11806,84,8534,398,1,18585,27568,27759,28016
18,876.436,63,801,10659,81,8532,403,1,18431,27407,27642,27951
16,876.472,64,774,8409,78,8528,397,1,18238,18690,18819,19031
30,876.562,63,785,24331,95,8543,391,1,36235,36913,37111,37547
20,876.795,63,799,12936,76,8529,399,1,20068,27648,27813,28081
14,876.912,65,722,7314,73,7340,442,0,15964,16276,16374,16576
25,876.997,62,761,18640,100,8536,395,1,27423,36006,36460,36967
17,877.763,63,787,9485,83,8533,406,1,18276,26892,27308,27730
28,877.79,63,785,22042,87,8534,376,1,28609,36754,36949,37293
26,877.906,62,759,19761,98,8538,390,1,27507,36437,36729,37142
27,880.549,63,766,20830,93,8539,354,1,27572,36469,36685,37041
