Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,355.901,80,607,107,43,1811,156,0,2786,3118,3235,3522
2,643.221,68,463,290,4,1536,743,0,3067,3303,3876,4314
3,760.57,69,514,1168,17,1957,215,0,3707,4940,5206,5877
4,1053.46,63,449,702,4,1998,576,0,3731,4061,4737,5189
5,1185.61,66,492,709,2,1926,1017,0,3937,5271,5443,5709
6,1232.43,66,513,1055,6,2027,1195,0,5048,5666,5851,6215
7,1419.28,63,570,1444,12,2431,407,0,4893,5394,5619,6289
8,1461.61,66,608,1139,5,2542,1108,0,5445,6830,7281,7891
9,1483.32,67,638,1285,7,2805,1259,1,6126,7655,7941,8507
10,1525.15,66,685,1328,6,3112,1353,1,6747,7983,8198,8688
11,1585.97,67,684,1498,5,3092,1583,1,7085,8232,8440,8924
15,1645.61,66,750,2504,1,3686,2103,1,9150,9635,9789,10125
14,1660.03,65,718,2268,1,3419,1957,1,8468,8916,9075,9659
13,1677.02,64,649,1892,1,3083,2057,0,7865,8528,8917,9447
16,1682.73,66,758,2599,1,3773,2304,1,9534,10020,10155,10402
17,1694.23,65,774,2769,1,4092,2329,1,10030,10490,10630,10834
12,1697.73,63,625,1733,2,2681,1959,0,7054,8094,8388,8903
18,1747.58,66,772,2842,2,3992,2620,1,10265,10724,10856,11104
19,1782.25,66,800,2963,1,3917,2908,1,10620,11067,11198,11579
22,1824.85,64,771,3467,1,4060,3687,1,12046,12450,12555,12750
20,1825.75,67,771,3022,1,3867,3220,1,10943,11412,11560,11825
23,1837.79,65,760,3659,1,4178,3844,1,12495,12927,13057,13277
21,1838.54,68,799,3172,1,3932,3443,1,11420,11837,11955,12183
26,1860.11,63,777,4853,1,4297,3980,1,13081,17195,17411,17768
25,1860.19,63,781,4312,1,4296,3977,1,12976,16705,17169,17678
30,1860.48,65,792,7006,1,4296,3957,1,16981,17597,17738,17963
31,1860.53,65,766,7555,1,4296,3974,1,17100,17644,17777,18006
32,1860.55,65,772,8092,1,4296,3967,1,17181,17691,17837,18037
24,1860.57,64,778,3786,1,4296,3969,1,12892,13352,13492,13711
27,1860.67,64,787,5380,1,4296,3978,1,13240,17338,17521,17840
28,1860.7,65,791,5926,1,4296,3964,1,14164,17457,17612,17895
29,1861.04,64,791,6437,1,4295,3989,1,16825,17545,17691,17942
